epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57012,1.60195,4.9967,1.88129,0,0,0,0,2.41597,5.78954,1.9782,0,0,0
2,8.17541,1.83896,5.01789,2.0819,0,0,0,0,2.43159,5.82116,1.97698,1.17822e-06,1.17822e-06,1.17822e-06
3,12.5468,1.90613,5.40746,2.36541,0,0,0,0,2.4235,5.80529,1.97588,2.33288e-06,2.33288e-06,2.33288e-06
4,16.7263,2.00539,5.09335,2.43156,0,0,0,0,2.42633,5.79614,1.98599,3.46397e-06,3.46397e-06,3.46397e-06
5,21.3197,2.11641,5.24719,2.50138,0,0,0,0,2.40409,5.75432,1.98439,4.5715e-06,4.5715e-06,4.5715e-06
6,25.5938,1.87542,4.93303,2.12685,0,0,0,0,2.40301,5.74196,1.96761,5.65548e-06,5.65548e-06,5.65548e-06
7,29.9839,1.71866,5.18891,1.79199,0,0,0,0,2.41192,5.72863,1.96289,6.71588e-06,6.71588e-06,6.71588e-06
8,34.5346,1.76567,5.57713,1.94591,0,0,0,0,2.42111,5.73021,1.97936,7.75273e-06,7.75273e-06,7.75273e-06
9,38.7181,1.71024,4.84828,1.95253,0,0,0,0,2.4036,5.71824,1.97693,8.76602e-06,8.76602e-06,8.76602e-06
10,42.6607,2.17304,5.531,2.26885,0,0,0,0,2.42861,5.71597,2.00559,9.75574e-06,9.75574e-06,9.75574e-06
11,46.857,1.91061,4.86961,2.17737,0,0,0,0,2.44738,5.6974,2.03752,1.07219e-05,1.07219e-05,1.07219e-05
12,51.0467,1.89728,5.18726,1.9432,0,0,0,0,2.4915,5.63618,2.08729,1.16645e-05,1.16645e-05,1.16645e-05
13,55.3475,1.89568,5.32455,2.14955,0,0,0,0,2.50584,5.64889,2.07891,1.25835e-05,1.25835e-05,1.25835e-05
14,59.5311,2.09934,4.83627,2.25259,0,0,0,0,2.50999,5.70451,2.0442,1.3479e-05,1.3479e-05,1.3479e-05
15,63.651,1.90474,4.9621,2.07176,0,0,0,0,2.50096,5.71548,2.01776,1.43509e-05,1.43509e-05,1.43509e-05
16,67.7968,1.54624,4.89272,1.88919,0,0,0,0,2.52569,5.67835,2.05923,1.51993e-05,1.51993e-05,1.51993e-05
17,71.8477,1.73696,4.91471,1.81276,0,0,0,0,2.52213,5.63298,2.07632,1.60241e-05,1.60241e-05,1.60241e-05
18,75.9267,2.09957,4.63417,2.25639,0,0,0,0,2.52213,5.63298,2.07632,1.68253e-05,1.68253e-05,1.68253e-05
19,80.0389,1.92331,4.99083,2.06259,0,0,0,0,2.57551,5.58198,2.13795,1.7603e-05,1.7603e-05,1.7603e-05
20,83.8573,1.71152,5.55069,1.81075,0,0,0,0,2.57551,5.58198,2.13795,1.83571e-05,1.83571e-05,1.83571e-05
21,87.9369,1.50021,4.59371,1.78474,0,0,0,0,2.59946,5.57234,2.17414,1.90876e-05,1.90876e-05,1.90876e-05
22,91.835,1.36877,4.84208,1.66851,0,0,0,0,2.59946,5.57234,2.17414,1.97946e-05,1.97946e-05,1.97946e-05
23,95.8123,1.97333,5.04119,2.1455,0,0,0,0,2.56339,5.56672,2.17824,2.0478e-05,2.0478e-05,2.0478e-05
24,100.084,1.81671,4.82078,2.07029,0,0,0,0,2.56339,5.56672,2.17824,2.11379e-05,2.11379e-05,2.11379e-05
25,104.376,1.36249,4.75625,1.6227,0,0,0,0,2.51999,5.59565,2.14852,2.17741e-05,2.17741e-05,2.17741e-05
26,108.184,1.38007,4.57687,1.74954,0,0,0,0,2.51999,5.59565,2.14852,2.23869e-05,2.23869e-05,2.23869e-05
27,112.306,1.65519,4.71296,1.85306,0,0,0,0,2.55377,5.56197,2.17724,2.2976e-05,2.2976e-05,2.2976e-05
28,116.403,1.53193,4.60017,1.73558,0,0,0,0,2.55377,5.56197,2.17724,2.35417e-05,2.35417e-05,2.35417e-05
29,120.464,1.9471,5.0691,2.16031,0,0,0,0,2.57325,5.58986,2.17733,2.40837e-05,2.40837e-05,2.40837e-05
30,124.435,1.63155,4.21761,1.87672,0,0,0,0,2.57325,5.58986,2.17733,2.46022e-05,2.46022e-05,2.46022e-05
31,128.514,1.79013,4.70204,2.03536,0,0,0,0,2.58321,5.57028,2.16003,2.50971e-05,2.50971e-05,2.50971e-05
32,132.409,1.91761,4.89117,2.05724,0,0,0,0,2.58321,5.57028,2.16003,2.55685e-05,2.55685e-05,2.55685e-05
33,136.609,1.48045,4.3725,1.81547,0,0,0,0,2.55936,5.56893,2.16505,2.60163e-05,2.60163e-05,2.60163e-05
34,140.546,1.37341,4.2368,1.89089,0,0,0,0,2.55936,5.56893,2.16505,2.64405e-05,2.64405e-05,2.64405e-05
35,144.772,1.47979,4.29424,1.72654,0,0,0,0,2.58893,5.57128,2.19008,2.68412e-05,2.68412e-05,2.68412e-05
36,148.722,1.76108,4.22038,1.90734,0,0,0,0,2.58893,5.57128,2.19008,2.72183e-05,2.72183e-05,2.72183e-05
37,152.94,1.4382,4.48984,1.89661,0,0,0,0,2.62947,5.57482,2.21425,2.75718e-05,2.75718e-05,2.75718e-05
38,156.869,1.61488,4.16408,1.86095,0,0,0,0,2.62947,5.57482,2.21425,2.79018e-05,2.79018e-05,2.79018e-05
39,161.24,1.17672,3.92709,1.47059,0,0,0,0,2.61682,5.59041,2.16963,2.82082e-05,2.82082e-05,2.82082e-05
40,165.658,1.42277,5.00453,1.64104,0,0,0,0,2.61682,5.59041,2.16963,2.84911e-05,2.84911e-05,2.84911e-05
41,169.643,1.49197,4.17293,1.72893,0,0,0,0,2.59473,5.60877,2.1325,2.87504e-05,2.87504e-05,2.87504e-05
42,173.47,1.5243,4.24144,1.8284,0,0,0,0,2.59473,5.60877,2.1325,2.89861e-05,2.89861e-05,2.89861e-05
43,177.587,0.86106,4.95747,1.3444,0,0,0,0,2.56335,5.60262,2.1076,2.91983e-05,2.91983e-05,2.91983e-05
44,181.581,1.49051,4.11284,1.73594,0,0,0,0,2.56335,5.60262,2.1076,2.93869e-05,2.93869e-05,2.93869e-05
45,185.83,1.34092,3.90741,1.6963,0,0,0,0,2.58685,5.66129,2.07306,2.9552e-05,2.9552e-05,2.9552e-05
46,189.71,1.51011,3.80848,1.76814,0,0,0,0,2.58685,5.66129,2.07306,2.96935e-05,2.96935e-05,2.96935e-05
47,193.727,1.61614,4.07127,1.8973,0,0,0,0,2.63063,5.64535,2.1054,2.98114e-05,2.98114e-05,2.98114e-05
48,197.636,1.46754,3.78565,1.77212,0,0,0,0,2.63063,5.64535,2.1054,2.99058e-05,2.99058e-05,2.99058e-05
49,201.659,1.43675,4.37357,1.68389,0,0,0,0,2.64544,5.63665,2.12193,2.99766e-05,2.99766e-05,2.99766e-05
50,205.536,1.47589,3.90221,1.64832,0,0,0,0,2.64544,5.63665,2.12193,3.00238e-05,3.00238e-05,3.00238e-05
51,209.657,1.33991,3.84517,1.54542,0,0,0,0,2.63149,5.64979,2.13097,3.00475e-05,3.00475e-05,3.00475e-05
52,213.567,1.63032,4.52895,1.58305,0,0,0,0,2.63149,5.64979,2.13097,3.00476e-05,3.00476e-05,3.00476e-05
53,217.51,1.04862,3.60813,1.45328,0,0,0,0,2.63149,5.64979,2.13097,3.00242e-05,3.00242e-05,3.00242e-05
54,221.552,1.24087,3.69222,1.54157,0.00833,0.01667,0.00083,0.00033,2.61618,5.63556,2.13977,2.99772e-05,2.99772e-05,2.99772e-05
55,225.392,1.38346,3.85218,1.49297,0.00833,0.01667,0.00083,0.00033,2.61618,5.63556,2.13977,2.99066e-05,2.99066e-05,2.99066e-05
56,229.332,1.25032,4.57021,1.36475,0.00833,0.01667,0.00083,0.00033,2.61618,5.63556,2.13977,2.98125e-05,2.98125e-05,2.98125e-05
57,233.498,1.09365,3.73517,1.3774,0.00794,0.01667,0.00083,0.00033,2.64533,5.6242,2.15798,2.96948e-05,2.96948e-05,2.96948e-05
58,237.599,1.37603,3.7151,1.53983,0.00794,0.01667,0.00083,0.00033,2.64533,5.6242,2.15798,2.95535e-05,2.95535e-05,2.95535e-05
59,241.612,1.59885,3.89122,1.86641,0.00794,0.01667,0.00083,0.00033,2.64533,5.6242,2.15798,2.93887e-05,2.93887e-05,2.93887e-05
60,245.594,1.29089,3.49504,1.60011,0.00794,0.01667,0.00083,0.00033,2.65293,5.64022,2.18475,2.92003e-05,2.92003e-05,2.92003e-05
61,249.431,1.04723,3.65863,1.30624,0.00794,0.01667,0.00083,0.00033,2.65293,5.64022,2.18475,2.89884e-05,2.89884e-05,2.89884e-05
62,253.396,0.94824,3.35556,1.31372,0.00794,0.01667,0.00083,0.00033,2.65293,5.64022,2.18475,2.87529e-05,2.87529e-05,2.87529e-05
63,257.437,1.26381,4.04514,1.68508,0.00758,0.01667,0.00079,0.00032,2.61178,5.65097,2.16693,2.84938e-05,2.84938e-05,2.84938e-05
64,261.039,1.2524,3.45015,1.52228,0.00758,0.01667,0.00079,0.00032,2.61178,5.65097,2.16693,2.82112e-05,2.82112e-05,2.82112e-05
65,264.661,1.57713,3.8922,1.667,0.00758,0.01667,0.00079,0.00032,2.61178,5.65097,2.16693,2.7905e-05,2.7905e-05,2.7905e-05
66,268.281,1.32787,3.2733,1.57315,0.00794,0.01667,0.00099,0.0004,2.51169,5.62235,2.11498,2.75753e-05,2.75753e-05,2.75753e-05
67,272.116,1.28511,3.40246,1.36664,0.00794,0.01667,0.00099,0.0004,2.51169,5.62235,2.11498,2.7222e-05,2.7222e-05,2.7222e-05
68,275.931,1.69023,3.60262,1.76228,0.00794,0.01667,0.00099,0.0004,2.51169,5.62235,2.11498,2.68451e-05,2.68451e-05,2.68451e-05
69,280.068,1.3334,3.74011,1.41889,0.00758,0.01667,0.00106,0.00042,2.52598,5.63419,2.12352,2.64447e-05,2.64447e-05,2.64447e-05
70,283.945,1.35198,3.67155,1.55587,0.00758,0.01667,0.00106,0.00042,2.52598,5.63419,2.12352,2.60207e-05,2.60207e-05,2.60207e-05
71,287.89,1.19687,3.45104,1.37777,0.00758,0.01667,0.00106,0.00042,2.52598,5.63419,2.12352,2.55731e-05,2.55731e-05,2.55731e-05
72,292.065,1.16929,3.92089,1.31703,0.00833,0.01667,0.00113,0.00057,2.45116,5.58848,2.08099,2.5102e-05,2.5102e-05,2.5102e-05
73,295.955,1.14097,3.13257,1.39915,0.00833,0.01667,0.00113,0.00057,2.45116,5.58848,2.08099,2.46073e-05,2.46073e-05,2.46073e-05
74,299.963,1.29127,3.60274,1.49528,0.00833,0.01667,0.00113,0.00057,2.45116,5.58848,2.08099,2.40891e-05,2.40891e-05,2.40891e-05
75,304.009,1.45953,2.96124,1.72363,0.00833,0.01667,0.00113,0.00057,2.43304,5.57677,2.06561,2.35472e-05,2.35472e-05,2.35472e-05
76,307.925,1.18059,3.42965,1.35935,0.00833,0.01667,0.00113,0.00057,2.43304,5.57677,2.06561,2.29819e-05,2.29819e-05,2.29819e-05
77,311.849,1.27403,3.39725,1.45993,0.00833,0.01667,0.00113,0.00057,2.43304,5.57677,2.06561,2.23929e-05,2.23929e-05,2.23929e-05
78,315.893,1.37209,3.44178,1.5425,0.00794,0.01667,0.00113,0.00057,2.39615,5.57104,2.02902,2.17805e-05,2.17805e-05,2.17805e-05
79,319.677,1.25212,2.95261,1.3136,0.00794,0.01667,0.00113,0.00057,2.39615,5.57104,2.02902,2.11444e-05,2.11444e-05,2.11444e-05
80,323.556,1.52434,3.39439,1.53573,0.00794,0.01667,0.00113,0.00057,2.39615,5.57104,2.02902,2.04848e-05,2.04848e-05,2.04848e-05
81,327.724,1.12519,3.11313,1.4743,0.00794,0.01667,0.00122,0.00061,2.39205,5.60817,2.01103,1.98016e-05,1.98016e-05,1.98016e-05
82,331.54,1.14821,2.59953,1.43302,0.00794,0.01667,0.00122,0.00061,2.39205,5.60817,2.01103,1.90949e-05,1.90949e-05,1.90949e-05
83,335.378,1.09476,2.7631,1.38329,0.00794,0.01667,0.00122,0.00061,2.39205,5.60817,2.01103,1.83646e-05,1.83646e-05,1.83646e-05
84,339.243,0.99506,2.57561,1.38717,0.00794,0.01667,0.00122,0.00061,2.36649,5.62163,2.00272,1.76107e-05,1.76107e-05,1.76107e-05
85,343.215,1.19634,2.77826,1.38389,0.00794,0.01667,0.00122,0.00061,2.36649,5.62163,2.00272,1.68333e-05,1.68333e-05,1.68333e-05
86,347.099,1.49631,3.15887,1.75684,0.00794,0.01667,0.00122,0.00061,2.36649,5.62163,2.00272,1.60323e-05,1.60323e-05,1.60323e-05
87,350.985,1.08376,3.01157,1.31649,0.00794,0.01667,0.00122,0.00061,2.36649,5.62163,2.00272,1.52077e-05,1.52077e-05,1.52077e-05
88,355.106,1.07451,3.38726,1.45383,0.00877,0.01667,0.00122,0.00061,2.37892,5.62469,2.01695,1.43596e-05,1.43596e-05,1.43596e-05
89,359.187,1.29442,3.47503,1.5776,0.00877,0.01667,0.00122,0.00061,2.37892,5.62469,2.01695,1.34879e-05,1.34879e-05,1.34879e-05
90,363.398,1.25387,2.95194,1.36,0.00877,0.01667,0.00122,0.00061,2.37892,5.62469,2.01695,1.25927e-05,1.25927e-05,1.25927e-05
91,367.339,1.25384,2.58222,1.58559,0.00877,0.01667,0.00122,0.00061,2.37892,5.62469,2.01695,1.16739e-05,1.16739e-05,1.16739e-05
92,371.462,1.03721,2.36995,1.28209,0.00794,0.01667,0.00122,0.00061,2.38241,5.60695,2.01791,1.07315e-05,1.07315e-05,1.07315e-05
93,375.455,1.47886,2.92436,1.73808,0.00794,0.01667,0.00122,0.00061,2.38241,5.60695,2.01791,9.76562e-06,9.76562e-06,9.76562e-06
94,379.385,1.34419,3.03136,1.5178,0.00794,0.01667,0.00122,0.00061,2.38241,5.60695,2.01791,8.77613e-06,8.77613e-06,8.77613e-06
95,383.228,1.15835,3.03518,1.57843,0.00794,0.01667,0.00122,0.00061,2.38241,5.60695,2.01791,7.76308e-06,7.76308e-06,7.76308e-06
96,387.264,1.14068,2.66362,1.38659,0.00833,0.01667,0.00106,0.00053,2.37387,5.61827,2.02396,6.72648e-06,6.72648e-06,6.72648e-06
97,390.84,1.39193,2.45084,1.524,0.00833,0.01667,0.00106,0.00053,2.37387,5.61827,2.02396,5.6663e-06,5.6663e-06,5.6663e-06
98,394.552,1.37073,2.75415,1.66689,0.00833,0.01667,0.00106,0.00053,2.37387,5.61827,2.02396,4.58257e-06,4.58257e-06,4.58257e-06
99,398.253,1.03825,2.17846,1.24134,0.00833,0.01667,0.00106,0.00053,2.37387,5.61827,2.02396,3.47528e-06,3.47528e-06,3.47528e-06
100,401.907,1.27205,2.5048,1.36257,0.00877,0.01667,0.00122,0.00049,2.43774,5.60449,2.03502,2.34442e-06,2.34442e-06,2.34442e-06
