epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1106.91,0.82043,0.68776,1.10482,0.8781,0.70563,0.79238,0.48489,1.39136,0.8651,1.59394,0.00023654,0.00023654,0.00023654
2,2053.58,0.85747,0.72712,1.12251,0.82522,0.71116,0.77506,0.41812,1.6498,0.97151,1.77564,0.000467829,0.000467829,0.000467829
3,3040.56,0.89538,0.77485,1.14458,0.83258,0.69451,0.76522,0.41526,1.58846,1.01973,1.74566,0.000692385,0.000692385,0.000692385
4,4737.69,0.91708,0.796,1.15958,0.83187,0.65543,0.74235,0.41819,1.50602,1.08593,1.6495,0.000683706,0.000683706,0.000683706
5,5645.84,0.92783,0.81906,1.16867,0.80516,0.6895,0.76351,0.42376,1.56052,1.03306,1.69387,0.000673608,0.000673608,0.000673608
6,6586.66,0.91405,0.80712,1.16074,0.8637,0.68166,0.75906,0.40787,1.60036,1.03473,1.76618,0.00066351,0.00066351,0.00066351
7,7538.8,0.91575,0.80154,1.16275,0.80238,0.68019,0.74343,0.37157,1.74243,1.11848,1.81909,0.000653412,0.000653412,0.000653412
8,8449.59,0.91129,0.80173,1.16051,0.83786,0.70849,0.7708,0.40092,1.70084,1.05835,1.78209,0.000643314,0.000643314,0.000643314
9,9308.26,0.90825,0.78871,1.15932,0.81641,0.69132,0.74999,0.39919,1.62017,1.03321,1.69394,0.000633216,0.000633216,0.000633216
10,10242.2,0.90458,0.78421,1.1537,0.83922,0.69421,0.76211,0.4394,1.46635,1.00562,1.60611,0.000623118,0.000623118,0.000623118
11,11257,0.88945,0.77257,1.14723,0.80999,0.72011,0.77219,0.44026,1.51466,0.95957,1.64395,0.00061302,0.00061302,0.00061302
12,12380.4,0.8999,0.78244,1.15031,0.84376,0.67962,0.7676,0.43172,1.5427,0.98762,1.66354,0.000602922,0.000602922,0.000602922
13,13532.4,0.89426,0.78433,1.14943,0.85578,0.71403,0.77586,0.45037,1.50061,0.96999,1.61975,0.000592824,0.000592824,0.000592824
